qid,question,gold_answers,model_answer,fuzzy_verdict,human_label
popqa-5748842,What is the capital of Bolivia?,Sucre | Charcas | La Plata | Chuquisaca | Historic City of Sucre,Bolivia,incorrect,
popqa-5864218,What is the capital of Jamaica?,"Kingston | Kingston, Jamaica",Jamaica,correct,
popqa-6117457,What is the capital of Iran?,Tehran | Teheran,Istanbul,incorrect,
popqa-6273545,What is the capital of Oregon?,"Salem | Salem, Oregon",Portland,incorrect,
popqa-6298839,What is the capital of Oman?,Muscat,Oman's capital is Muscat.,incorrect,
popqa-793141,What is the capital of Missouri?,"Jefferson City | Jefferson City, Missouri",St Louis,incorrect,
triviaqa-bb_3148,Sic Bo is a Chinese game of?,Dice | ⚁ | ⚀ | ⚃ | ⚂ | ⚅ | Game dice | Fullams | 20-Sided Die | Roll of the dice | Fair die | Gaming dice | Twenty-sided polyhedral die | Normal dice | Polyhedral dice | ⚄ | Seven-sided die | Crystal dice | Fulhams | 20-sided die | 🎲 | Loaded dice | Chance cube | Loaded die | Game die | Six-sided die | 12-sided die | 8-sided die | Dice tray | Six-sided dice | Crystal die | Fair dice | Gaming die | Polyhedral die | Dice cup | Dice and dice games | roll of dice | twenty sided polyhedral die | loaded dice | game dice | polyhedral dice | fullams | normal dice | fair dice | polyhedral die | gaming dice | fulhams | dice and dice games | 12 sided die | dice | dice tray | loaded die | fair die | six sided dice | 8 sided die | 20 sided die | chance cube | six sided die | seven sided die | crystal dice | game die | dice cup | gaming die | crystal die,sic bo is a chinese game of dice,incorrect,
triviaqa-bb_7406,Who became the new French president in 2007?,Nicolas Sarkozy | Hyperpresident | Nicolas Paul Stéphane Sarkozy de Nagy-Bocsa | Sarko the American | Nick sarkozy | Sarkosy | Sarzoky | Nicolas sarkosy | Nicolas Sarközy | Sarko | Nick sarkozee | Giulia Sarkozy | Sarkozy | Nicolas Sarkoezy | Nicholas Sarkozy | Nicolas Paul Stephane Sarkozy de Nagy-Bocsa | Nikolas sarkozy | Nicholas Sarzoky | Nicolas Paul Stéphane Sarközy de Nagy-Bocsa | President Sarkozy | Sarcozy | Sarko l'Americain | Nicolas Paul Stephane Sarkoezy de Nagy-Bocsa | Nicolas Sarzoky | Nicolas Sarkosy | Sarko l’Américain | Nicolas Sarkozky | Sarcosy | Nicolai Sarkozy | Nicolas Sarcozy | nicolas sarzoky | nicholas sarkozy | sarkosy | nicolas sarkoezy | nicolas paul stephane sarkozy de nagy bocsa | sarko american | nikolas sarkozy | nick sarkozy | nicolai sarkozy | nicolas paul stephane sarkoezy de nagy bocsa | nicolas sarkozy | nicolas sarközy | sarzoky | sarcozy | giulia sarkozy | nicolas sarkosy | sarkozy | hyperpresident | sarko | nicolas paul stéphane sarkozy de nagy bocsa | nicolas sarcozy | sarko l américain | sarcosy | president sarkozy | nick sarkozee | nicholas sarzoky | nicolas sarkozky | nicolas paul stéphane sarközy de nagy bocsa | sarko l americain,Jean-Pierre Raffarin,incorrect,
triviaqa-bb_8190,Who was elected president of France follwing the death of President Pompidou?,"Valery Giscard d'Estaing | Giscard d’Estaing | Valery Marie Rene Giscard d'Estaing | Valéry Giscard | Valery Giscard dEstaing | Valery Marie René Georges Giscard d'Estaing | Giscard d'Estaing, Valéry | VGE | Valéry Giscard d'Estaing | Giscard d'Estaing, Valery | Valery Giscard D'Estaing | Valéry Marie René Giscard d'Estaing | Giscard | Valéry Marie René Georges Giscard d'Estaing | Valery Giscard | Valery Marie Rene Georges Giscard d'Estaing | L'Ex | Giscard d'Estaing | Valéry Giscard d’Estaing | Valery Marie René Giscard d'Estaing | Valéry Giscard d'Éstaing | valéry marie rené giscard d estaing | valery marie rené georges giscard d estaing | valery giscard destaing | valery marie rene giscard d estaing | vge | giscard d estaing | valéry giscard d estaing | valery giscard | giscard d estaing valery | valery marie rene georges giscard d estaing | valéry marie rené georges giscard d estaing | valéry giscard | valery marie rené giscard d estaing | valery giscard d estaing | valéry giscard d éstaing | giscard d estaing valéry | l ex | giscard",Jean-Pierre Raffarin,incorrect,
triviaqa-bb_9192,In which US city is the 1974 film Towering Inferno set?,"San Francisco | San Fransciso | San francisco radio stations | The weather in San Francisco | San Fransisco, California | San Francisco (City and County) | Baghdad by the Bay | San Francisco County, California | San Francisco, CA, United States | More reading about San Francisco | San Franciscan | Friscoe | Sanfracisco | San Franciscans | San Francisco, Calif | San-Fransisco | City & County of San Francisco | Old Gold Mountain | San Francisco County, CA | San Francisco, California, U.S. | San Fransisco CA | San Francisco county | San Francisco County | Sanchez Street | San Francisco (county) | San Francisco City and County | City by the bay | San Pancho | Climate of San Francisco | San-Francisco | San Francisco, California, United States | San Francisco, California, USA | San Fran | San Francisco (Calif.) | McLaren, California | San Francisco, California | San Francisco, CA. | Radio stations in san francisco | San Fransico County, California | City by the Bay | The City by the Bay | San Francisco, Calif. | Demographics of San Francisco | San Francisco, United States of America | County of San Francisco | The Hamlin School | San Francisco, CA | San Francisco, California, U.S.A. | UN/LOCODE:USSFO | San Francisco, US-CA | San francisco, ca | San Francisco CA | City of San Francisco, California | San Francisco (CA) | San Fran, California | City and County of San Francisco, California | San Fransico, California | San francisco, CA | San Franscisco | City of San Francisco | County of San Francisco, California | SF, CA | San Francisco, California, US | San Franciso | San Fransisco | Baking Arts | San Francisco, USA | Crime in San Francisco | City and County of San Francisco | San Francisco, United States | San Francisco, Ca | The City That Knows How | San francisco | McKinley Elementary School San Francisco | San Fransisco, CA | San Fransico | san francisco city and county | mckinley elementary school san francisco | san francisco california u s | san fransciso | city by bay | friscoe | climate of san francisco | san francisco calif | san francisco california us | san francisco usa | weather in san francisco | san franciso | san francisco us ca | county of san francisco | san franscisco | san franciscan | county of san francisco california | san fran california | san francisco ca united states | city that knows how | san francisco california usa | un locode ussfo | san fransico | baking arts | san francisco united states | san fran | city county of san francisco | sanchez street | san fransico county california | san pancho | baghdad by bay | san fransisco | sanfracisco | more reading about san francisco | san francisco county ca | san fransisco ca | demographics of san francisco | city and county of san francisco california | san fransico california | crime in san francisco | san francisco ca | san francisco | san francisco california | city and county of san francisco | city of san francisco california | san francisco radio stations | sf ca | mclaren california | old gold mountain | san franciscans | san francisco united states of america | city of san francisco | san fransisco california | san francisco california united states | san francisco county | radio stations in san francisco | san francisco county california | hamlin school",New York City,incorrect,
triviaqa-bb_951,In what Eastern European country did violence arise against Uzbeks during 2010?,Kyrgystan | Krygyzstan | Kirgiziya | Kirzighia | Khyrgyzstan | Khirgyzia | Kyrgyg | Kyrghizistan | Kyrzygystan | Kyrgyz Respublikasy | ISO 3166-1:KG | Kirgyzstan | Languages of Kyrgyzstan | Kirgystan | Khirgystan | Kyrghyzstan | Khirgistan | Kyrgestan | Kyrgyztan | Khirgizstan | Krygzstan | Kirgistan | Khirghizia | Kyrghizia | Kyrgizia | Киргизия | Khirghistan | Kyrgyz Republic | Republic of Kyrgyzstan | Kirghizia | Kyrgyzistan | Khirgyzstan | Kyrgyzia | Kyrgyzstan | Khirgizia | Kyrghyz Republic | Khyrghyzia | Қырғызстан | Kirgiz Republic | Hinduism in Kyrgyzstan | Khyrgystan | Kirghyzia | Kyrgizstan | Khirghizstan | Khyrghystan | Kirghistan | Kirgisistan | Kyrgzystan | Kyrghyzia | Kirgizia | Khyrgyzia | Kyrgzstan | KYRGYZSTAN | Kirghizistan | Kirgiztan | Kirghiz Republic | Кыргызстан | KGZ | Kyrghizstan | Kyrgistan | Kirghizstan | Khyrghyzstan | Kirgizistan | Kyrghystan | Republic of Kirgizstan | Kyrzygstan | Kirgizstan | Quirghyzia | Republic of Kyrgyztan | Sport in Kyrgyzstan | KGN | kirghiz republic | kirgystan | kirghizia | khirghizstan | kyrgizia | hinduism in kyrgyzstan | kyrghyzia | kirgiztan | khyrghystan | republic of kirgizstan | iso 3166 1 kg | khyrghyzstan | kirgizistan | kgn | kyrghizia | kyrghizstan | khirgizia | quirghyzia | kyrgystan | kyrghystan | kyrgestan | kirgistan | kyrgyzistan | kyrgyzstan | kyrgyz respublikasy | khyrghyzia | khyrgyzia | кыргызстан | krygzstan | sport in kyrgyzstan | republic of kyrgyzstan | kyrgyztan | киргизия | khirgyzia | kyrgyzia | khirghistan | kyrzygystan | қырғызстан | kyrgizstan | kirghizistan | kirghizstan | kyrgzstan | khirgystan | khirgistan | kyrgyg | kirghyzia | khyrgyzstan | kyrgyz republic | kyrgistan | kgz | khirgyzstan | kirghistan | republic of kyrgyztan | kirzighia | kirgizstan | kyrghyz republic | khirgizstan | kyrzygstan | kyrghizistan | khirghizia | kirgyzstan | kyrgzystan | kirgisistan | kirgiziya | kirgiz republic | languages of kyrgyzstan | khyrgystan | kyrghyzstan | krygyzstan | kirgizia,Ukraine,incorrect,
triviaqa-bt_2785,"In music, an axe is a slang term for which instrument",Guitar | Saddle (guitar) | Guitar tone | Guitar music | Geetar | Guitar components | Belly Fiddler | The guitar | Gitarre | Guitar history | Gitfiddle | Kinds of guitars | Gutiar | Guiatar | 🎸 | Gitiar | Strap lock system | Types of guitars | Guitar Lessons | Parts of the guitar | Guitar lesson | Archguitar | Guitars | 6-string guitar | Guiatr | Left handed guitar | Playing guitars | Guitariste | Guitar instruction | Six-string guitar | Black Plastic Guitar Case | Rock guitar | Gitar | Usa Guitar | Giutar | Guitar strap | Strap Lock System | Gatar | strap lock system | archguitar | gatar | guitar lesson | gitfiddle | guitar lessons | guitar music | guiatar | guitar history | 6 string guitar | six string guitar | rock guitar | left handed guitar | gitiar | types of guitars | guitar tone | guitariste | guitar strap | black plastic guitar case | usa guitar | gutiar | guitar | guitar components | giutar | guitar instruction | gitar | saddle guitar | playing guitars | parts of guitar | guiatr | gitarre | belly fiddler | kinds of guitars | geetar | guitars,axe,incorrect,
triviaqa-bt_3620,What is animelles the culinary term for,Testicles | Testical cyst | Testis | Testes | Balls (slang) | Testicular size | Testicals | Testicular hormones | Testicular disorder | Testicle size | Low hangers | Testical | Testicular | Testicular diseases | Teste | Testicle | Orchitic | testical cyst | testicals | balls slang | testicular diseases | testicular hormones | teste | testicle | testicular disorder | testical | orchitic | testes | testis | testicle size | testicular size | testicular | testicles | low hangers,anime,incorrect,
triviaqa-bt_718,"Who said, a man is only as old as the women he feels",Groucho Marx | I don't want to belong to any club that will accept me as a member | Julius Henry Marx | Grouchu | Groucho Marxist | I would never join any club that would accept me as a member | Julius Marx | I refuse to join any club that would have me as a member | Groucho | I wouldn't join any club that would have me as a member | I prefer not to join any club that would have me as a member | I don't want to belong to any club that will accept people like me as a member | Groucho marx | Julius Henry %22Groucho%22 Marx | Marxist of the groucho variety | I don't care to belong to a club that accepts people like me as members | Groucho Marxism | groucho marxist | i don t want to belong to any club that will accept people like me as member | marxist of groucho variety | julius henry marx | i don t care to belong to club that accepts people like me as members | julius marx | i refuse to join any club that would have me as member | groucho | i prefer not to join any club that would have me as member | groucho marxism | julius henry 22groucho 22 marx | i don t want to belong to any club that will accept me as member | groucho marx | i would never join any club that would accept me as member | i wouldn t join any club that would have me as member | grouchu,Eleanor Roosevelt,incorrect,
triviaqa-bt_726,Who was the owner of Mirror Group newspapers who misused the pension fund,"Robert Maxwell | Ian Robert Maxwell | Maxwell, Robert | Ian Robert Maxwell MC | Maxwell, (Ian) Robert | (Ian) Robert Maxwell | Ján Ludvík Hoch | Ján Ludwig Hoch | Ian Ludwig Hoch | Jan Ludwig Hoch | Robert Maxwell (politician) | Robert Ian Maxwell | Ján Ludvik Hoch | jan ludwig hoch | ján ludvík hoch | ján ludwig hoch | robert ian maxwell | maxwell robert | maxwell ian robert | ian ludwig hoch | ian robert maxwell | ian robert maxwell mc | robert maxwell politician | ján ludvik hoch | robert maxwell",Miracle Republic,incorrect,
triviaqa-dpql_376,Pantagruel was the son of which giant?,Gargantua | Pantagruelism | Gargantua And Pantagruel | Gargantua and pantagruel | Pantagruelian | Friar John | The Life of Gargantua and of Pantagruel | Gargantua and Pantagruel | Pandagruel | Gargantua & Pantagruel | La vie de Gargantua et de Pantagruel | Garagantua | pantagruelism | gargantua | gargantua pantagruel | gargantua and pantagruel | la vie de gargantua et de pantagruel | life of gargantua and of pantagruel | friar john | pantagruelian | pandagruel | garagantua,Pantagruel was the son of Gargantua.,incorrect,
triviaqa-jp_1520,What marine mammal's tusks were once thought to be from unicorns?,Narwhal | Narwahl | Unicorn Whale | Narwale | Narwhale | Monodon monoceros | Narwall | Narval | Narwhals | Arctic unicorn | Norwhal whale | Monodon | Sea unicorn | Norwhal whales | monodon | narval | arctic unicorn | norwhal whales | narwhale | narwhal | narwahl | unicorn whale | narwall | monodon monoceros | norwhal whale | narwhals | narwale | sea unicorn,whale,correct,
triviaqa-jp_208,"""What """"family"""" killed actress Sharon Tate and others?""","Manson Family | Charles manson family | William Garretson | Charles Mansion | Ruth Ann Moorehouse | Charles Manson Jr | Charles Manson | Lauren Willett | Manson murders | LaBianca | Tate-La Bianca murders | Gary Hinman | Leno La Bianca | Abigail Folger | Wojciech Frykowski | Ruth Ann %22Ouisch%22 Moorehouse | Priscilla Cooper | Ruth Moorehouse | Reni Willett | Abigail Anne %22Gibby%22 Folger | Charles Mansen | Manson family | Manson-Tate murders | Tate-LaBianca | Manson Murders | Tate–LaBianca murders | Charles Manson Murders | Gibbie | LaBianca murders | Nancy Pitman | Tate-LaBianca murders | Charles Milles Manson | James Willett | Manson Family murders | Charles Maddox | Michael Monfort | Charles Manson murders | Charls Milles Manson | The Manson family | Charlie Manson | Leno LaBianca | Kathleen Maddox | Leno and Rosemary LaBianca | Manson Family Movies | Charles Milles Maddox | Rosemary LaBianca | Chuck Manson | Charles manson | Charls Manson family | Rosemary La Bianca | Tate murders | Manson-La Bianca murders | No name Maddox | The Manson Family | Charles Manson, Jr. | Shahrokh Hatami | William Goucher | lauren willett | abigail anne 22gibby 22 folger | manson family murders | charles milles maddox | gibbie | ruth ann moorehouse | charles mansion | charles manson jr | charls manson family | nancy pitman | charles manson family | tate la bianca murders | michael monfort | ruth ann 22ouisch 22 moorehouse | chuck manson | kathleen maddox | charles manson murders | tate labianca | william garretson | abigail folger | charles mansen | tate murders | labianca murders | tate labianca murders | leno labianca | manson murders | rosemary labianca | charles manson | wojciech frykowski | manson tate murders | charlie manson | manson family | reni willett | manson la bianca murders | leno la bianca | gary hinman | james willett | charles maddox | priscilla cooper | manson family movies | rosemary la bianca | charles milles manson | leno and rosemary labianca | no name maddox | shahrokh hatami | labianca | ruth moorehouse | charls milles manson | william goucher | tate–labianca murders",the KGB,incorrect,
triviaqa-jp_2502,What type of bird is often depicted with an olive branch in its beak?,Dove | Columbiformes | Columbidae | Columbid | Columbiiformes | Pigeons | Pigeon | Columbiform | Pigeons and doves | Rat with wings | Doves and pigeons | Dove (bird) | Dove (zoology) | Doves | rat with wings | pigeons and doves | columbidae | pigeon | doves | dove zoology | columbiformes | dove | columbiiformes | columbid | doves and pigeons | dove bird | columbiform | pigeons,ostrich,incorrect,
triviaqa-jp_2878,What African animal is known for laughing?,Hyena | Hiena | Hyeena | Mating hyenas | Hyaenas | Hyenas | Hyaenids | Hyaena eximia | Hyenæ | Hienna | Chiena | Chienna | Hyenae | Hyiena | Hyaenidae | hyaenids | hiena | hyaena eximia | hyenas | hyaenas | chienna | hyaenidae | hyenae | mating hyenas | hyena | chiena | hyeena | hyenæ | hyiena | hienna,elephant,incorrect,
triviaqa-jp_3970,In what modern-day country was the Norse settlement of Vinland?,Canada | Canadá | The Dominion of Canada | Commonwealth of Canada | Dominion of canada | ISO 3166-1:CA | Etymology of Canada | CANADA | Canadiophile | Canada's | ᑲᓇᑕ | Canada/References | America's top hat | Canada. | Cnada | Čanada | Canadian Federation | Kenadian | Canadialand | Xanada | Dominion of Canada | Canadaa | canada s | canadá | čanada | canadaa | america s top hat | cnada | kenadian | xanada | canadian federation | iso 3166 1 ca | canadialand | canada | canada references | dominion of canada | commonwealth of canada | etymology of canada | canadiophile,Vinland (modern-day Newfoundland),incorrect,
triviaqa-jp_923,What airline had two high-profile plane crashes in 2014?,Malaysia Airlines | MalaysiaAirlines | Malaysian Airlines System | Malaysian Airline System Berhad | Malaysia airlines | History of Malaysia Airlines | Sistem Penerbangan Malaysia | Malaysian Airlines | Malaysia Airlines crash | Penerbangan Malaysia | Malaysia Air | Malaysia Airlines Timeline | Syarikat Penerbangan Malaysia | Malaysian Airline System Sendiran Berhad | MAS Golden Boutiques | Malaysian airlines | MHbuddy | MAS-Sistem Penerbangan Malaysia Berhad | Malaysia Airline System | Malaysia Airline | Malaysia Airlines Subsidiaries | MH370 and MH17 | Malaysian Air | Malaysian Airline System | Enrich Loyalty Programme | MAS Golden Boutiques Sdn. Bhd. | MAS (Malaysia Airlines) | Malaysia Airlines subsidiaries | history of malaysia airlines | mas golden boutiques | penerbangan malaysia | mh370 and mh17 | malaysia airlines crash | malaysiaairlines | mhbuddy | mas sistem penerbangan malaysia berhad | malaysia airlines subsidiaries | malaysian airline system sendiran berhad | sistem penerbangan malaysia | malaysian airline system berhad | mas golden boutiques sdn bhd | malaysia airline system | mas malaysia airlines | enrich loyalty programme | malaysian airline system | malaysia airlines timeline | malaysian airlines | malaysia airlines | malaysia airline | malaysian airlines system | malaysian air | malaysia air | syarikat penerbangan malaysia,Air France Flight 447,incorrect,
triviaqa-odql_1002,Between 1959 and 1967 which city was the capital of Pakistan (Islamabad was being built)?,"RAWALPINDI | Rāwalpindi, Pakistan | RawalPindi | راولپنڈی | Tench Bhata | Rawlapindi | Tench Bhatta | F.G. Sir Syed Boys Sec. School, Rawalpindi | Rawalpindi, Punjab, Pakistan | Rāwalpindi | Rawlpindini | Rawal-Pindi | Rawalpindi | Rawalpindi, Pakistan | Rawal Pindee | Rawalpindi, Punjab | Rawal Pindi | 'Pindi | rawal pindee | rāwalpindi pakistan | rāwalpindi | rawlpindini | rawalpindi | rawal pindi | tench bhata | pindi | rawalpindi punjab | rawalpindi pakistan | rawlapindi | f g sir syed boys sec school rawalpindi | tench bhatta | rawalpindi punjab pakistan",Islamabad,incorrect,
triviaqa-odql_14584,Which period in the Paleozoic era came between the Silurian and the Carboniferous?,DEVONIAN | Emsian | Devonian era | Eifelian Stage | Pragnian | Age of Fish | Devonian Period | Old Red Age | Early Devonian | Greenhouse Age | Late Devonian epoch | Tioughnioga Stage | Famennian Stage | Devonian Era | Eifelian stage | Devonian | Devonian Age | Tioughniogan | Downtonian | Eifelian | Age of Fishes | Middle Devonian | Upper Devonian | Greening of the continents | Early Devonian epoch | Breconian | Frasnian Stage | Lochkovian | Gedinnian | Devonian System | Pragian | Late Emsian | Devonion Period | Middle Devonian epoch | Devonian climate | Lower Devonian | Devonian period | Late Devonian | Dittonian | eifelian stage | devonian system | age of fish | upper devonian | devonian period | devonian age | greening of continents | devonion period | pragian | age of fishes | early devonian epoch | tioughnioga stage | early devonian | dittonian | lochkovian | eifelian | greenhouse age | gedinnian | famennian stage | old red age | frasnian stage | middle devonian epoch | emsian | late devonian epoch | breconian | late devonian | downtonian | devonian | devonian climate | pragnian | middle devonian | late emsian | lower devonian | tioughniogan | devonian era,Ordovician,incorrect,
triviaqa-odql_2538,Which ball sport is played on a court 18 metres long by 9 metres wide?,VOLLEYBALL | Court (volleyball) | Volley ball | Libero (volleyball) | Serve (Volleyball) | Spike (volleyball) | Vollyball | Spike (Volleyball) | Outside hitter | VolleyBall | Volleyball dig | Rally point system | Indoor volleyball | History of volleyball | Volleyball | 🏐 | V-ball | Lebro | High school volleyball | Volley-Ball | Volley Ball | Setter (Volleyball) | Mintonette | Volleyball court | Serve (volleyball) | Volleyball rules | Volley-ball | court volleyball | libero volleyball | volley ball | serve volleyball | rally point system | spike volleyball | v ball | volleyball rules | indoor volleyball | lebro | volleyball | vollyball | mintonette | volleyball court | volleyball dig | history of volleyball | setter volleyball | outside hitter | high school volleyball,tennis,incorrect,
triviaqa-odql_4978,"Kingsley Amis, John Gardner and Raymond Benson have written novels about which character, after the death of the original author?","'JAMES BOND' | James Bond formula | James Bond | James Bond 007 | Bond, James Bond | List of James Bond characters | List of actors who portrayed James Bond | Mr bond | James bond | James bonf | James Bond List | Bond 007 | Secret Agent 007 | List of actors who portayed James Bond | Bond, James | James Bond OO7 | Sir James Bond | Bond. James Bond. | The name's Bond. James Bond. | Unofficial James Bond film | Bondian | Bond Extreme | Double-o seven | sir james bond | bond 007 | james bond formula | james bond 007 | list of actors who portayed james bond | james bond | mr bond | name s bond james bond | list of actors who portrayed james bond | james bonf | bondian | bond extreme | unofficial james bond film | secret agent 007 | list of james bond characters | bond james | bond james bond | james bond list | james bond oo7 | double o seven",Raymond Chandler,incorrect,
triviaqa-qb_10284,The original Ferris Wheel was erected in which US state for the 1893 World’s Columbian Exposition?,"Illinois | Transportation in Illinois | Illionis | Demographics of Illinois | 21st State | The Prairie State | Illinoid | Prairie State | State of Illinois | Rockford Academy | Religion in Illinois | Ill. | Illinois Ironmen | Twenty-first State | Illinios | Education in Illinois | IL (state) | Energy in Illinois | Illinois (state) | Twenty-First State | Land of Lincoln | Illinois, United States | Transport in Illinois | US-IL | Illinois (U.S. state) | Sports in Illinois | The Land of Lincoln | Illinoy | Illinoisan | transportation in illinois | us il | illinois ironmen | state of illinois | prairie state | demographics of illinois | il state | education in illinois | illinoisan | illinoid | sports in illinois | illinoy | energy in illinois | twenty first state | illionis | 21st state | land of lincoln | rockford academy | religion in illinois | illinois u s state | illinois state | ill | transport in illinois | illinios | illinois united states | illinois",Chicago,incorrect,
triviaqa-qb_1435,Which country was invaded by Iraq in 1990?,Kuwait | ISO 3166-1:KW | Kuwayt | State of Kuwait | KUW | الكويت | Kuait | Koweit | Languages of Kuwait | Administrative divisions of Kuwait | Kowait | Subdivisions of Kuwait | Kuwaitis | Kuwet | Koweït | State Kuwait | Quwait | Kuweit | دولة الكويت | state of kuwait | state kuwait | languages of kuwait | quwait | koweït | administrative divisions of kuwait | kuwet | kuwayt | koweit | subdivisions of kuwait | kuwait | iso 3166 1 kw | kuait | kuwaitis | kuw | kuweit | kowait,Iraq invaded Kuwait in 1990.,incorrect,
triviaqa-qb_4792,What colour is a 100 Euro banknote?,"Green | Greenishly | Avacado (color) | Green (color) | Rgb(0, 255, 0) | Greenishness | The colour green | Greenest | List of terms associated with the color green | The color green | Pastel green | (0, 255, 0) | Green (colour) | Greenness | greenishness | color green | 0 255 0 | green color | green | rgb 0 255 0 | avacado color | greenest | list of terms associated with color green | greenness | greenishly | colour green | pastel green | green colour",silver,incorrect,
triviaqa-qb_6887,Who was declared Model of the Millennium by Vogue editor Anna Wintour?,Gisele Bundchen | Gisele Buendchen | Gisele Caroline Nonnenmacher Bündchen | Olivia Palito | Gisele Buendchen Stock Index | Gisele Caroline Nonnenmacher Bundchen | Gisele Bündchen Stock Index | Olívia Palito | Bundchen | Gisele bündchen | Vida (dog) | Gisele Caroline Nonnenmacher Buendchen | Gisele Bundchen Stock Index | Gisele Bündchen | Gisele (singer) | Giselle Bundchen | giselle bundchen | gisele buendchen | olívia palito | gisele caroline nonnenmacher buendchen | bundchen | gisele bündchen | vida dog | gisele buendchen stock index | gisele singer | gisele caroline nonnenmacher bündchen | olivia palito | gisele caroline nonnenmacher bundchen | gisele bundchen stock index | gisele bundchen | gisele bündchen stock index,Gwyneth Paltrow,incorrect,
triviaqa-qb_7436,Mount Entoto is the highest peak overlooking which African capital city?,"Addis Ababa | Ethiopian Natural History Museum | Adis Abeba | Addis Ababa, ET | Āddīs Ābebā | Ādīs Ābeba | Addis Abba, Ethiopia | Addis Abba | Tewodros Square | Addis Abeba | Addis Ababa Museum | አዲስ አበባ | Addis Ababa, Ethiopia | Capital of Ethiopia | Ethiopian Ethnological Museum | Addis-Abeba | New flower | Addis Adaba | Districts of Addis Ababa | Adis Ababa | The Grand Anwar Mosque (Addis Ababa) | Adis abeda | Finfinne | adis abeba | ethiopian natural history museum | addis adaba | grand anwar mosque addis ababa | capital of ethiopia | ethiopian ethnological museum | addis ababa ethiopia | districts of addis ababa | addis ababa | ādīs ābeba | addis abba ethiopia | adis abeda | āddīs ābebā | addis abba | addis ababa et | finfinne | tewodros square | addis ababa museum | new flower | addis abeba | adis ababa",Mombasa,incorrect,
